,age,sex,bmi,children,smoker,region,expenses
560,46,female,20.0,2,no,northwest,9193.84
1285,47,female,24.3,0,no,northeast,8534.67
1142,52,female,24.9,0,no,southeast,27117.99
969,39,female,34.3,5,no,southeast,8596.83
486,54,female,21.5,3,no,northwest,12475.35
170,63,male,41.5,0,no,southeast,13405.39
277,22,female,24.3,0,no,southwest,2150.47
1033,18,male,21.6,0,yes,northeast,13747.87
209,40,male,41.2,1,no,northeast,6610.11
947,37,male,34.2,1,yes,northeast,39047.29
140,34,male,22.4,2,no,northeast,27375.9
1140,50,male,37.1,1,no,southeast,9048.03
1106,49,female,29.9,0,no,northwest,8988.16
199,64,female,39.3,0,no,northeast,14901.52
932,46,male,25.8,5,no,southwest,10096.97
316,50,male,32.2,0,no,northwest,8835.26
1207,36,male,33.4,2,yes,southwest,38415.47
10,25,male,26.2,0,no,northeast,2721.32
147,51,female,37.7,1,no,southeast,9877.61
1240,52,male,41.8,2,yes,southeast,47269.85
282,30,male,27.6,1,no,northeast,4237.13
477,25,male,35.6,0,no,northwest,2534.39
1334,18,female,31.9,0,no,northeast,2205.98
859,57,male,28.1,0,no,southwest,10965.45
380,27,female,18.0,2,yes,northeast,15006.58
390,48,male,35.6,4,no,northeast,10736.87
425,45,male,24.3,5,no,southeast,9788.87
892,54,male,24.0,0,no,northeast,10422.92
481,49,male,37.5,2,no,southeast,9304.7
990,26,female,19.8,1,no,southwest,3378.91
135,22,female,28.1,0,no,southeast,2155.68
377,24,male,40.2,0,yes,southeast,38126.25
322,34,male,30.8,0,yes,southwest,35491.64
582,39,male,45.4,2,no,southeast,6356.27
526,19,female,30.6,2,no,northwest,24059.68
1026,19,male,26.0,1,yes,northwest,16450.89
532,59,male,29.7,2,no,southeast,12925.89
158,30,male,35.5,0,yes,southeast,36950.26
1158,20,female,30.6,0,no,northeast,2459.72
420,64,male,33.9,0,yes,southeast,46889.26
1161,34,male,42.1,2,no,southeast,5124.19
354,18,female,38.3,0,no,southeast,14133.04
785,35,female,27.7,3,no,southwest,6414.18
1283,18,male,30.0,1,no,southeast,1720.35
857,25,male,24.1,0,yes,northwest,15817.99
921,62,female,33.2,0,no,southwest,13462.52
802,21,male,22.3,1,no,southwest,2103.08
96,54,female,30.8,3,no,southwest,12105.32
382,55,male,33.0,0,no,southeast,20781.49
1151,58,female,36.5,0,no,northwest,12235.84
1111,38,male,38.4,3,yes,southeast,41949.24
467,56,female,33.8,2,no,northwest,12643.38
156,48,male,24.4,0,yes,southeast,21223.68
1141,41,female,32.6,3,no,southwest,7954.52
908,63,male,39.8,3,no,southwest,15170.07
620,30,male,31.4,1,no,southwest,3659.35
339,46,female,27.7,1,no,southeast,8232.64
497,45,male,28.7,2,no,southwest,8027.97
435,60,male,33.1,3,no,southeast,13919.82
1148,55,male,21.5,1,no,southwest,10791.96
554,25,female,41.3,0,no,northeast,17878.9
458,56,male,39.6,0,no,southwest,10601.41
342,60,female,27.6,0,no,northeast,13217.09
308,58,male,34.9,0,no,northeast,11944.59
1128,34,male,32.8,1,no,southwest,14358.36
503,19,male,30.3,0,yes,southeast,32548.34
1197,41,male,33.6,0,no,southeast,5699.84
693,24,male,23.7,0,no,northwest,2352.97
1297,28,female,26.5,2,no,southeast,4340.44
634,51,male,39.7,1,no,southwest,9391.35
1022,47,male,36.1,1,yes,southeast,42211.14
178,46,female,28.9,2,no,southwest,8823.28
287,63,female,26.2,0,no,northwest,14256.19
1290,38,female,20.0,2,no,northeast,7133.9
1113,28,female,26.3,3,no,northwest,5312.17
294,25,male,26.8,3,no,southwest,3906.13
471,18,female,30.1,0,no,northeast,2203.47
987,45,female,27.6,1,no,northwest,28340.19
993,38,male,28.3,1,no,southeast,5484.47
482,18,female,31.4,0,no,southeast,1622.19
1094,50,female,33.7,4,no,southwest,11299.34
88,46,female,27.7,0,no,northwest,8026.67
746,34,male,27.0,2,no,southwest,11737.85
926,19,female,23.4,2,no,southwest,2913.57
527,51,female,25.8,1,no,southwest,9861.03
915,24,female,34.0,0,no,southeast,2473.33
558,35,female,34.1,3,yes,northwest,39983.43
759,18,male,38.2,0,yes,southeast,36307.8
706,51,female,38.1,0,yes,southeast,44400.41
290,28,female,33.4,0,no,southwest,3172.02
285,46,male,26.6,1,no,southeast,7742.11
673,41,female,31.0,0,no,southeast,6185.32
1268,20,female,33.3,0,no,southwest,1880.49
1188,43,female,25.3,1,yes,northeast,21771.34
1224,41,male,23.9,1,no,northeast,6858.48
